tp,sl,nanpin,trades,win_rate,total_pips,max_dd,pf,avg_pips
40,40,5,2064,66.72,20419.8,-9112.7,1.07,9.89
50,40,5,1743,60.18,15407.7,-10949.3,1.05,8.84
40,20,5,2722,48.31,12605.7,-9547.6,1.06,4.63
40,30,5,2270,59.91,12071.5,-9081.6,1.04,5.32
30,20,5,3222,56.3,9983.0,-8384.6,1.05,3.1
50,60,25,1361,76.41,9245.7,-16011.9,1.05,6.79
60,60,25,1174,72.06,8338.5,-14151.6,1.05,7.1
50,30,5,1939,53.07,7881.7,-8472.0,1.03,4.06
60,30,5,1729,47.48,7261.2,-8492.4,1.03,4.2
40,50,5,1926,70.04,6619.0,-11740.2,1.02,3.44
60,40,5,1541,54.19,6519.1,-17128.6,1.02,4.23
50,30,8,1884,55.04,6284.8,-6933.6,1.03,3.34
20,30,8,3732,79.29,6042.7,-6736.3,1.03,1.62
50,20,5,2393,41.75,5985.7,-7960.4,1.03,2.5
60,30,25,1942,38.83,5787.3,-2688.3,1.1,2.98
20,20,5,4262,67.5,5606.6,-6142.1,1.03,1.32
40,30,10,2183,61.7,4991.6,-9262.1,1.02,2.29
60,30,20,1803,43.76,4605.3,-3257.4,1.05,2.55
40,40,25,1889,66.81,4333.1,-3833.5,1.04,2.29
30,20,8,3250,55.45,4028.8,-6665.5,1.03,1.24
40,15,10,3585,33.11,3929.0,-3334.0,1.05,1.1
30,20,15,3510,47.41,3922.3,-3080.2,1.05,1.12
50,40,25,1628,60.87,3516.1,-4992.5,1.03,2.16
60,15,8,2839,26.24,3306.0,-5300.7,1.03,1.16
30,20,10,3282,53.56,3033.8,-4890.4,1.02,0.92
20,15,8,4904,53.98,2911.2,-3234.6,1.03,0.59
30,15,8,3965,43.0,2858.4,-3639.6,1.03,0.72
40,15,8,3414,35.56,2476.7,-5920.3,1.02,0.73
40,40,10,1983,69.34,2420.3,-10869.8,1.01,1.22
20,20,10,4231,64.29,2368.0,-3175.7,1.02,0.56
30,40,5,2555,73.27,2247.7,-11974.0,1.01,0.88
60,20,15,2499,29.93,2243.9,-3464.3,1.03,0.9
30,15,10,4155,40.05,2209.5,-2272.5,1.03,0.53
15,20,5,5233,74.39,2142.0,-5866.0,1.01,0.41
50,30,25,2118,42.82,2133.8,-3833.4,1.03,1.01
20,15,10,5092,50.57,2119.1,-1978.9,1.03,0.42
50,15,8,3087,29.93,2064.0,-5731.2,1.02,0.67
20,15,5,4818,57.43,1790.7,-5019.3,1.01,0.37
40,30,8,2189,61.44,1691.0,-9443.8,1.01,0.77
50,15,10,3235,27.88,1384.0,-2314.5,1.02,0.43
40,15,5,3264,38.3,1310.0,-7729.0,1.01,0.4
60,15,5,2697,28.33,1190.4,-8430.3,1.01,0.44
50,15,5,2943,32.48,1185.3,-6563.2,1.01,0.4
40,30,25,2375,48.72,917.0,-4347.2,1.01,0.39
30,20,20,3842,41.05,857.4,-1181.7,1.02,0.22
30,20,25,3842,41.05,857.4,-1181.7,1.02,0.22
40,20,15,3000,39.6,831.0,-3526.0,1.01,0.28
60,40,25,1438,55.56,796.2,-10335.8,1.01,0.55
30,30,25,2834,56.21,739.5,-3061.5,1.01,0.26
40,20,10,2775,45.3,580.0,-7167.3,1.0,0.21
50,20,15,2707,33.76,495.6,-3490.2,1.01,0.18
15,15,8,5806,61.35,459.0,-3598.8,1.0,0.08
20,30,10,3665,78.83,432.5,-5851.3,1.0,0.12
60,20,25,2825,25.56,412.5,-1269.9,1.01,0.15
60,20,20,2825,25.56,412.5,-1269.9,1.01,0.15
60,20,5,2188,36.56,308.5,-12509.7,1.0,0.14
60,15,25,3421,20.49,233.7,-1464.3,1.01,0.07
60,15,20,3421,20.49,233.7,-1464.3,1.01,0.07
60,15,15,3421,20.49,233.7,-1464.3,1.01,0.07
15,15,10,5945,58.05,201.9,-2635.5,1.0,0.03
20,40,5,3581,82.13,187.3,-11444.9,1.0,0.05
20,20,15,4371,57.52,162.9,-2264.4,1.0,0.04
40,15,25,3991,27.89,152.7,-1902.4,1.0,0.04
40,15,20,3991,27.89,152.7,-1902.4,1.0,0.04
40,15,15,3991,27.89,152.7,-1902.4,1.0,0.04
15,20,25,5486,58.08,144.2,-910.0,1.0,0.03
15,20,20,5486,58.08,144.2,-910.0,1.0,0.03
50,30,20,1972,48.12,112.4,-4262.2,1.0,0.06
40,20,20,3317,33.86,44.9,-1670.4,1.0,0.01
40,20,25,3317,33.86,44.9,-1670.4,1.0,0.01
50,15,25,3664,23.55,35.8,-1873.2,1.0,0.01
50,15,20,3664,23.55,35.8,-1873.2,1.0,0.01
50,15,15,3664,23.55,35.8,-1873.2,1.0,0.01
30,30,20,2736,62.24,28.2,-3975.6,1.0,0.01
20,20,25,4708,50.76,27.6,-852.6,1.0,0.01
20,20,20,4708,50.76,27.6,-852.6,1.0,0.01
50,20,20,3057,28.95,-107.1,-1526.7,1.0,-0.04
50,20,25,3057,28.95,-107.1,-1526.7,1.0,-0.04
15,20,15,5203,64.9,-116.2,-1871.8,1.0,-0.02
30,15,5,3814,45.78,-153.9,-6161.4,1.0,-0.04
30,40,25,2350,73.11,-250.7,-6164.4,1.0,-0.11
20,15,20,5507,43.58,-257.1,-1237.3,0.99,-0.05
20,15,15,5507,43.58,-257.1,-1237.3,0.99,-0.05
20,15,25,5507,43.58,-257.1,-1237.3,0.99,-0.05
30,15,25,4579,33.87,-263.7,-1698.3,0.99,-0.06
30,15,20,4579,33.87,-263.7,-1698.3,0.99,-0.06
30,15,15,4579,33.87,-263.7,-1698.3,0.99,-0.06
20,30,25,3611,66.19,-413.3,-2607.9,0.99,-0.11
60,15,10,3008,24.4,-729.3,-3522.6,0.99,-0.24
15,15,5,5777,64.93,-766.8,-5966.4,1.0,-0.13
15,15,15,6383,50.59,-789.9,-1346.1,0.98,-0.12
15,15,20,6383,50.59,-789.9,-1346.1,0.98,-0.12
15,15,25,6383,50.59,-789.9,-1346.1,0.98,-0.12
50,20,10,2463,39.06,-868.0,-6397.3,0.99,-0.35
60,20,10,2260,34.2,-971.9,-7892.9,0.99,-0.43
15,40,5,4569,87.02,-976.6,-12298.9,1.0,-0.21
20,40,25,3161,81.49,-1094.3,-6674.4,0.99,-0.35
30,30,10,2705,69.43,-1189.2,-11614.8,0.99,-0.44
40,30,20,2247,54.21,-1362.3,-5425.8,0.99,-0.61
15,30,25,4322,72.79,-1488.0,-2596.8,0.98,-0.34
15,30,10,4575,84.28,-1617.3,-6506.4,0.99,-0.35
60,30,8,1676,48.93,-1664.1,-13086.9,0.99,-0.99
40,40,8,2007,68.26,-2081.1,-10215.1,0.99,-1.04
20,20,8,4229,66.0,-2139.6,-6215.4,0.99,-0.51
15,30,20,4342,78.42,-2185.8,-3898.8,0.97,-0.5
60,40,15,1433,59.46,-2404.9,-21707.8,0.99,-1.68
15,30,5,4810,83.24,-2609.4,-6930.6,0.99,-0.54
40,20,8,2723,46.75,-2896.8,-9525.9,0.98,-1.06
50,20,8,2405,40.37,-3054.8,-8414.0,0.98,-1.27
15,20,10,5109,71.03,-3369.1,-5308.8,0.97,-0.66
40,30,15,2175,58.67,-3537.0,-10388.1,0.97,-1.63
30,40,10,2496,76.32,-3898.4,-9912.5,0.98,-1.56
50,40,20,1622,62.45,-4040.9,-11734.1,0.97,-2.49
50,40,15,1619,63.68,-4101.0,-17084.7,0.98,-2.53
30,30,15,2662,66.42,-4224.3,-11259.9,0.97,-1.59
60,40,20,1448,57.32,-4577.7,-15197.1,0.97,-3.16
15,30,8,4650,84.22,-4626.0,-9531.9,0.98,-0.99
60,30,10,1675,48.84,-4807.5,-15766.5,0.98,-2.87
20,30,20,3554,72.06,-4829.0,-5824.0,0.95,-1.36
20,40,10,3493,84.34,-4855.2,-13052.3,0.98,-1.39
30,40,20,2391,75.16,-5053.8,-8128.6,0.96,-2.11
15,40,25,3899,85.77,-5104.5,-6252.4,0.94,-1.31
15,40,20,4040,87.62,-5118.7,-9420.2,0.96,-1.27
60,30,15,1705,46.92,-5218.8,-14145.0,0.96,-3.06
30,30,8,2725,68.92,-5486.4,-12480.6,0.98,-2.01
60,20,8,2191,35.24,-5641.3,-10261.6,0.96,-2.57
50,30,10,1870,54.44,-5643.3,-13595.2,0.97,-3.02
50,50,5,1609,63.52,-5851.7,-17765.2,0.98,-3.64
50,30,15,1887,51.72,-6016.6,-11166.6,0.96,-3.19
30,30,5,2790,66.99,-6084.6,-12360.6,0.98,-2.18
20,30,5,3813,77.31,-6249.2,-9164.5,0.98,-1.64
40,50,10,1870,72.94,-6333.3,-13638.3,0.98,-3.39
60,50,25,1283,63.83,-7176.2,-13476.1,0.95,-5.59
20,50,25,3011,87.48,-7385.5,-14305.3,0.94,-2.45
40,60,25,1621,79.7,-7463.3,-19308.4,0.96,-4.6
50,60,15,1444,72.85,-7810.8,-28037.6,0.97,-5.41
20,40,20,3259,83.12,-7820.2,-11037.6,0.94,-2.4
60,60,20,1225,70.04,-7846.8,-24581.7,0.97,-6.41
20,60,25,2924,91.07,-8057.9,-17529.8,0.94,-2.76
50,50,25,1472,68.41,-8189.7,-14581.8,0.95,-5.56
15,40,15,4207,89.02,-8714.3,-9758.0,0.94,-2.07
40,40,20,1892,67.76,-9246.4,-13026.4,0.94,-4.89
50,40,8,1693,61.67,-9492.6,-15577.2,0.97,-5.61
15,50,20,3919,91.76,-9518.1,-16295.8,0.93,-2.43
40,60,20,1665,79.4,-9749.2,-20675.5,0.95,-5.86
15,50,25,3756,90.73,-9759.9,-12432.6,0.91,-2.6
15,30,15,4414,81.85,-9990.0,-10122.3,0.92,-2.26
15,40,10,4427,88.64,-10048.8,-13699.1,0.95,-2.27
30,40,8,2531,74.91,-10208.7,-14996.4,0.96,-4.03
60,60,15,1249,68.21,-10462.8,-32174.4,0.96,-8.38
15,20,8,5115,72.36,-10584.0,-13249.6,0.93,-2.07
30,40,15,2409,76.55,-10729.7,-15826.6,0.94,-4.45
40,60,5,1819,72.51,-10737.6,-18415.0,0.97,-5.9
60,40,10,1467,57.33,-10756.0,-26405.0,0.96,-7.33
20,40,8,3562,83.49,-10883.1,-17507.6,0.96,-3.06
50,60,20,1409,74.52,-10961.4,-27571.0,0.95,-7.78
20,30,15,3557,75.99,-11046.8,-10977.2,0.92,-3.11
40,50,8,1889,71.84,-11431.3,-16284.9,0.96,-6.05
30,50,5,2412,76.12,-11738.7,-15292.0,0.96,-4.87
20,40,15,3338,84.57,-11885.4,-17386.4,0.93,-3.56
50,50,15,1515,69.04,-12267.3,-25467.7,0.95,-8.1
15,50,15,4122,91.63,-12331.9,-13728.5,0.93,-2.99
40,60,10,1785,75.8,-13260.7,-22903.4,0.96,-7.43
15,60,25,3661,93.55,-13655.4,-16353.0,0.89,-3.73
20,50,5,3435,84.37,-14154.2,-15311.9,0.95,-4.12
30,60,25,2071,84.84,-14400.9,-21281.4,0.91,-6.95
60,50,15,1323,64.17,-14888.9,-29753.9,0.94,-11.25
15,60,15,4035,93.11,-15096.3,-16789.5,0.92,-3.74
20,50,20,3132,88.09,-15146.0,-18456.6,0.91,-4.84
40,40,15,1906,69.15,-16001.1,-21551.3,0.92,-8.4
50,40,10,1663,62.24,-16133.5,-20943.8,0.94,-9.7
20,50,15,3251,87.94,-16478.0,-18725.7,0.92,-5.07
15,40,8,4494,87.89,-16608.0,-20478.1,0.93,-3.7
20,50,10,3365,86.57,-17017.3,-22678.1,0.93,-5.06
50,50,8,1579,65.86,-17198.7,-20185.7,0.94,-10.89
30,50,25,2163,79.38,-17345.1,-21578.8,0.88,-8.02
30,50,15,2305,80.95,-17927.8,-24850.8,0.92,-7.78
50,60,10,1470,70.14,-18011.9,-27406.5,0.94,-12.25
40,50,25,1717,73.09,-18175.2,-21557.2,0.88,-10.59
60,50,20,1293,64.27,-18365.3,-27153.2,0.91,-14.2
20,50,8,3432,85.9,-18439.3,-21620.6,0.93,-5.37
40,50,15,1797,74.57,-18594.4,-25759.4,0.92,-10.35
60,40,8,1481,55.77,-19181.2,-28682.5,0.93,-12.95
15,50,10,4278,90.49,-19188.4,-21920.5,0.91,-4.49
60,50,5,1405,57.58,-19402.4,-29259.1,0.94,-13.81
20,60,15,3150,89.84,-19663.1,-23250.8,0.91,-6.24
50,50,10,1547,66.65,-19889.2,-24097.9,0.93,-12.86
15,60,20,3836,93.38,-20182.2,-26467.2,0.87,-5.26
15,50,8,4357,89.95,-20232.5,-22222.1,0.92,-4.64
50,60,5,1507,66.22,-20255.2,-29007.5,0.94,-13.44
30,50,20,2248,81.01,-20371.5,-22997.0,0.89,-9.06
30,50,10,2378,79.06,-20741.3,-22522.6,0.92,-8.72
60,60,10,1277,65.07,-20775.9,-32922.6,0.93,-16.27
15,50,5,4421,88.62,-20803.8,-22470.9,0.93,-4.71
60,50,10,1361,61.5,-21379.3,-26642.7,0.93,-15.71
20,60,20,3040,90.43,-21437.0,-24973.9,0.88,-7.05
40,60,8,1789,74.34,-22376.3,-27806.5,0.93,-12.51
30,50,8,2412,77.94,-22482.4,-24667.9,0.92,-9.32
20,60,8,3286,87.77,-22588.6,-30298.3,0.92,-6.87
30,60,20,2162,84.27,-23843.7,-31302.0,0.88,-11.03
40,60,15,1716,77.51,-24363.3,-38150.8,0.9,-14.2
20,60,10,3260,88.34,-24466.5,-31701.2,0.91,-7.51
40,50,20,1741,74.38,-24615.5,-27827.2,0.87,-14.14
50,50,20,1476,68.77,-24730.9,-33402.9,0.88,-16.76
30,60,15,2208,83.15,-25742.7,-33842.7,0.89,-11.66
50,60,8,1477,68.45,-25966.9,-34650.6,0.92,-17.58
15,60,8,4217,91.27,-26956.8,-28725.6,0.89,-6.39
30,60,10,2277,81.51,-27436.5,-33661.8,0.91,-12.05
60,50,8,1371,60.03,-28887.6,-32593.2,0.91,-21.07
15,60,10,4161,91.76,-29651.4,-31857.9,0.87,-7.13
20,60,5,3277,85.99,-30519.6,-32809.9,0.91,-9.31
60,60,5,1319,60.58,-31034.1,-41047.5,0.91,-23.53
30,60,5,2286,78.17,-31047.3,-34605.9,0.91,-13.58
15,60,5,4264,89.99,-31257.6,-32595.6,0.89,-7.33
30,60,8,2292,79.97,-36446.4,-41136.3,0.88,-15.9
60,60,8,1282,62.79,-39603.6,-45888.3,0.88,-30.89
